county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Delta,"City of Gladstone, Precinct 2",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,218,264,67,549
Delta,"City of Gladstone, Precinct 2",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Patrick William O'Grady,,255,192,113,560
Delta,"City of Gladstone, Precinct 2",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Write-in,,11,7,7,25
Delta,"City of Gladstone, Precinct 2",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Over Vote Count,,1,0,0,1
Delta,"City of Gladstone, Precinct 2",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Under Vote Count,,191,135,70,396
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - 6 Year Term,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - 6 Year Term,,Stephen L. Borrello,,398,337,141,876
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - 6 Year Term,,Write-in,,8,11,7,26
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - 6 Year Term,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - 6 Year Term,,Under Vote Count,,270,250,109,629
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,386,330,138,854
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Write-in,,14,10,9,33
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Under Vote Count,,276,258,110,644
Delta,"City of Gladstone, Precinct 2",Judge of Probate Court,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Judge of Probate Court,,Perry R. Lund,,426,359,149,934
Delta,"City of Gladstone, Precinct 2",Judge of Probate Court,,Write-in,,12,12,7,31
Delta,"City of Gladstone, Precinct 2",Judge of Probate Court,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Judge of Probate Court,,Under Vote Count,,238,227,101,566
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Dennis L. Hopkins,,153,146,65,364
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Terri Mileski,,244,270,73,587
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Steven D. Soderman,,345,317,133,795
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Write-in,,8,16,8,32
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Bay De Noc Community College Board of Trustees Member,,Under Vote Count,,602,447,235,1284
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Mike O'Connor,,163,129,61,353
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Steve O'Driscoll,,185,193,79,457
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Steven Viau,,170,159,56,385
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Write-in,,8,12,8,28
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Over Vote Count,,5,4,0,9
Delta,"City of Gladstone, Precinct 2",City of Gladstone Commissioner - Partial Term Ending 12/31/2025,,Under Vote Count,,145,101,53,299
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Philip J. DeMay,,223,251,88,562
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Diane L. Godfrey,,191,200,60,451
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,John Malnar,,173,188,48,409
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Jesse Seger,,178,154,73,405
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Steven J. Tackman,,252,273,107,632
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Steven Viau,,177,175,77,429
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Write-in,,12,11,7,30
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Over Vote Count,,3,0,0,3
Delta,"City of Gladstone, Precinct 2",Gladstone Area Schools Board Member,,Under Vote Count,,819,542,311,1672
Delta,"City of Gladstone, Precinct 2",Delta County - 911 Millage Renewal Proposal,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Delta County - 911 Millage Renewal Proposal,,Yes,,414,400,162,976
Delta,"City of Gladstone, Precinct 2",Delta County - 911 Millage Renewal Proposal,,No,,177,151,69,397
Delta,"City of Gladstone, Precinct 2",Delta County - 911 Millage Renewal Proposal,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Delta County - 911 Millage Renewal Proposal,,Under Vote Count,,85,47,26,158
Delta,"City of Gladstone, Precinct 2",Delta County - Veterans Affairs Millage Proposal,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Delta County - Veterans Affairs Millage Proposal,,Yes,,412,399,154,965
Delta,"City of Gladstone, Precinct 2",Delta County - Veterans Affairs Millage Proposal,,No,,180,153,79,412
Delta,"City of Gladstone, Precinct 2",Delta County - Veterans Affairs Millage Proposal,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Delta County - Veterans Affairs Millage Proposal,,Under Vote Count,,84,46,24,154
Delta,"City of Gladstone, Precinct 2",Proposed Gladstone Charter Amendment to Remove the City's Power to Levy and Collect Special Assessments,,Ballots Cast,,676,598,257,1531
Delta,"City of Gladstone, Precinct 2",Proposed Gladstone Charter Amendment to Remove the City's Power to Levy and Collect Special Assessments,,Yes,,399,380,164,943
Delta,"City of Gladstone, Precinct 2",Proposed Gladstone Charter Amendment to Remove the City's Power to Levy and Collect Special Assessments,,No,,183,162,70,415
Delta,"City of Gladstone, Precinct 2",Proposed Gladstone Charter Amendment to Remove the City's Power to Levy and Collect Special Assessments,,Over Vote Count,,0,0,0,0
Delta,"City of Gladstone, Precinct 2",Proposed Gladstone Charter Amendment to Remove the City's Power to Levy and Collect Special Assessments,,Under Vote Count,,94,56,23,173
Delta,"Baldwin Township, Precinct 1",President,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",President,,Kamala D. Harris / Tim Walz,Democrat,114,0,5,119
Delta,"Baldwin Township, Precinct 1",President,,Donald J. Trump / JD Vance,Republican,316,0,40,356
Delta,"Baldwin Township, Precinct 1",President,,"Robert F. Kennedy, Jr. / Nicole Shanahan",Natural Law,2,0,0,2
Delta,"Baldwin Township, Precinct 1",President,,Joseph Kishore / Jerry White,No Party Affiliation,1,0,0,1
Delta,"Baldwin Township, Precinct 1",President,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",President,,Under Vote Count,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,115,0,6,121
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Mike Rogers,Republican,304,0,37,341
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,3,0,1,4
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,2,0,1,3
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Over Vote Count,,2,0,0,2
Delta,"Baldwin Township, Precinct 1",U.S. Senate,,Under Vote Count,,10,0,0,10
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Callie Barr,Democrat,117,0,5,122
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Jack Bergman,Republican,309,0,37,346
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Andrew Gale,Libertarian,1,0,1,2
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Liz Hakola,Working Class,2,0,2,4
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",U.S. House,1,Under Vote Count,,7,0,0,7
Delta,"Baldwin Township, Precinct 1",State House,108,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",State House,108,Christiana Reynolds,Democrat,115,0,6,121
Delta,"Baldwin Township, Precinct 1",State House,108,David Prestin,Republican,297,0,38,335
Delta,"Baldwin Township, Precinct 1",State House,108,Kayla Wikstrom,Libertarian,5,0,1,6
Delta,"Baldwin Township, Precinct 1",State House,108,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",State House,108,Under Vote Count,,19,0,0,19
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,104,0,4,108
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,102,0,5,107
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,280,0,34,314
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,271,0,36,307
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,7,0,3,10
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,4,0,0,4
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,4,0,0,4
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,12,0,0,12
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Write-in,,1,0,0,1
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Member of the State Board of Education,,Under Vote Count,,87,0,8,95
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,108,0,5,113
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,105,0,4,109
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,281,0,36,317
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,248,0,28,276
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,10,0,4,14
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,8,0,3,11
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,112,0,10,122
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,108,0,4,112
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,103,0,5,108
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,Republican,282,0,35,317
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,Republican,258,0,31,289
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,Libertarian,5,0,2,7
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,7,0,1,8
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,4,0,2,6
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,Green,4,0,0,4
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Trustee of Michigan State University,,Under Vote Count,,101,0,10,111
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,Democrat,101,0,3,104
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,Democrat,107,0,4,111
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,Republican,264,0,33,297
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,Republican,262,0,33,295
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,Libertarian,5,0,1,6
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,6,0,2,8
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,Working Class,10,0,1,11
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,Natural Law,6,0,0,6
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Over Vote Count,,2,0,0,2
Delta,"Baldwin Township, Precinct 1",Governor of Wayne State University,,Under Vote Count,,109,0,13,122
Delta,"Baldwin Township, Precinct 1",County Prosecuting Attorney,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Prosecuting Attorney,,Lauren Wickman,Republican,342,0,41,383
Delta,"Baldwin Township, Precinct 1",County Prosecuting Attorney,,Write-in,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Prosecuting Attorney,,Under Vote Count,,91,0,4,95
Delta,"Baldwin Township, Precinct 1",County Sheriff,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Sheriff,,Todd M. Tardiff,Republican,348,0,42,390
Delta,"Baldwin Township, Precinct 1",County Sheriff,,Write-in,,2,0,0,2
Delta,"Baldwin Township, Precinct 1",County Sheriff,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Sheriff,,Under Vote Count,,86,0,3,89
Delta,"Baldwin Township, Precinct 1",County Clerk and Register of Deeds,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Clerk and Register of Deeds,,Nancy Kolich Przewrocki,Republican,345,0,41,386
Delta,"Baldwin Township, Precinct 1",County Clerk and Register of Deeds,,Write-in,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",County Clerk and Register of Deeds,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Clerk and Register of Deeds,,Under Vote Count,,88,0,4,92
Delta,"Baldwin Township, Precinct 1",County Treasurer,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Treasurer,,Sherry Godfrey,Republican,335,0,41,376
Delta,"Baldwin Township, Precinct 1",County Treasurer,,Write-in,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",County Treasurer,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Treasurer,,Under Vote Count,,98,0,4,102
Delta,"Baldwin Township, Precinct 1",County Road Commissioner,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Road Commissioner,,Bob Aschbacher,Democrat,189,0,15,204
Delta,"Baldwin Township, Precinct 1",County Road Commissioner,,Mark Asselin,Democrat,173,0,14,187
Delta,"Baldwin Township, Precinct 1",County Road Commissioner,,Write-in,,21,0,1,22
Delta,"Baldwin Township, Precinct 1",County Road Commissioner,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Road Commissioner,,Under Vote Count,,489,0,60,549
Delta,"Baldwin Township, Precinct 1",County Drain Commissioner,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Drain Commissioner,,Dean Auger,Republican,333,0,41,374
Delta,"Baldwin Township, Precinct 1",County Drain Commissioner,,Write-in,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",County Drain Commissioner,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Drain Commissioner,,Under Vote Count,,100,0,4,104
Delta,"Baldwin Township, Precinct 1",County Surveyor,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Surveyor,,Terence S. Wanic,Republican,335,0,42,377
Delta,"Baldwin Township, Precinct 1",County Surveyor,,Write-in,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",County Surveyor,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",County Surveyor,,Under Vote Count,,98,0,3,101
Delta,"Baldwin Township, Precinct 1",County Commissioner 1st  District,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",County Commissioner 1st  District,,John Malnar,Republican,326,0,42,368
Delta,"Baldwin Township, Precinct 1",County Commissioner 1st  District,,Write-in,,5,0,0,5
Delta,"Baldwin Township, Precinct 1",County Commissioner 1st  District,,Over Vote Count,,1,0,0,1
Delta,"Baldwin Township, Precinct 1",County Commissioner 1st  District,,Under Vote Count,,104,0,3,107
Delta,"Baldwin Township, Precinct 1",Baldwin Township Supervisor,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Baldwin Township Supervisor,,Lisa Carlson,Democrat,261,0,22,283
Delta,"Baldwin Township, Precinct 1",Baldwin Township Supervisor,,Write-in,,19,0,0,19
Delta,"Baldwin Township, Precinct 1",Baldwin Township Supervisor,,Over Vote Count,,0,0,1,1
Delta,"Baldwin Township, Precinct 1",Baldwin Township Supervisor,,Under Vote Count,,156,0,22,178
Delta,"Baldwin Township, Precinct 1",Baldwin Township Clerk,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Baldwin Township Clerk,,Terre Anderson,Republican,341,0,42,383
Delta,"Baldwin Township, Precinct 1",Baldwin Township Clerk,,Write-in,,2,0,0,2
Delta,"Baldwin Township, Precinct 1",Baldwin Township Clerk,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Baldwin Township Clerk,,Under Vote Count,,93,0,3,96
Delta,"Baldwin Township, Precinct 1",Baldwin Township Treasurer,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Baldwin Township Treasurer,,Mark S. DePuydt,Republican,356,0,42,398
Delta,"Baldwin Township, Precinct 1",Baldwin Township Treasurer,,Write-in,,1,0,0,1
Delta,"Baldwin Township, Precinct 1",Baldwin Township Treasurer,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Baldwin Township Treasurer,,Under Vote Count,,79,0,3,82
Delta,"Baldwin Township, Precinct 1",Baldwin Township Trustee,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Baldwin Township Trustee,,Dale K. Schneider,Republican,333,0,39,372
Delta,"Baldwin Township, Precinct 1",Baldwin Township Trustee,,Karen L. Van Damme,Republican,319,0,34,353
Delta,"Baldwin Township, Precinct 1",Baldwin Township Trustee,,Write-in,,3,0,0,3
Delta,"Baldwin Township, Precinct 1",Baldwin Township Trustee,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Baldwin Township Trustee,,Under Vote Count,,217,0,17,234
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - 8 Year Term,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - 8 Year Term,,Andrew Fink,,179,0,23,202
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - 8 Year Term,,Kimberly Ann Thomas,,117,0,7,124
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - 8 Year Term,,Write-in,,5,0,0,5
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - 8 Year Term,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - 8 Year Term,,Under Vote Count,,135,0,15,150
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,139,0,7,146
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Patrick William O'Grady,,155,0,24,179
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Write-in,,8,0,0,8
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Under Vote Count,,134,0,14,148
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Stephen L. Borrello,,224,0,24,248
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Write-in,,10,0,0,10
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Under Vote Count,,202,0,21,223
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,220,0,24,244
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Write-in,,8,0,0,8
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Over Vote Count,,1,0,0,1
Delta,"Baldwin Township, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Under Vote Count,,207,0,21,228
Delta,"Baldwin Township, Precinct 1",Judge of Probate Court,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Judge of Probate Court,,Perry R. Lund,,244,0,26,270
Delta,"Baldwin Township, Precinct 1",Judge of Probate Court,,Write-in,,7,0,0,7
Delta,"Baldwin Township, Precinct 1",Judge of Probate Court,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Judge of Probate Court,,Under Vote Count,,185,0,19,204
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Dennis L. Hopkins,,80,0,6,86
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Terri Mileski,,120,0,14,134
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Steven D. Soderman,,244,0,24,268
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Write-in,,2,0,0,2
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Under Vote Count,,426,0,46,472
Delta,"Baldwin Township, Precinct 1",Mid Peninsula School District Board Member,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Mid Peninsula School District Board Member,,Dale K. Schneider,,280,0,30,310
Delta,"Baldwin Township, Precinct 1",Mid Peninsula School District Board Member,,Write-in,,4,0,1,5
Delta,"Baldwin Township, Precinct 1",Mid Peninsula School District Board Member,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Mid Peninsula School District Board Member,,Under Vote Count,,588,0,59,647
Delta,"Baldwin Township, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Yes,,270,0,23,293
Delta,"Baldwin Township, Precinct 1",Delta County - 911 Millage Renewal Proposal,,No,,131,0,19,150
Delta,"Baldwin Township, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Under Vote Count,,35,0,3,38
Delta,"Baldwin Township, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Ballots Cast,,436,0,45,481
Delta,"Baldwin Township, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Yes,,287,0,34,321
Delta,"Baldwin Township, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,No,,108,0,8,116
Delta,"Baldwin Township, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Over Vote Count,,0,0,0,0
Delta,"Baldwin Township, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Under Vote Count,,41,0,3,44
Delta,"Bark River Township, Precinct 1",President,,Ballots Cast,,846,0,133,979
Delta,"Bark River Township, Precinct 1",President,,Kamala D. Harris / Tim Walz,Democrat,194,0,20,214
Delta,"Bark River Township, Precinct 1",President,,Donald J. Trump / JD Vance,Republican,638,0,112,750
Delta,"Bark River Township, Precinct 1",President,,Chase Oliver / Mike ter Maat,Libertarian,1,0,1,2
Delta,"Bark River Township, Precinct 1",President,,Randall Terry / Stephen E. Broden,U.S. Taxpayers,1,0,0,1
Delta,"Bark River Township, Precinct 1",President,,Jill Stein / Rudolph Ware,Green,3,0,0,3
Delta,"Bark River Township, Precinct 1",President,,"Robert F. Kennedy, Jr. / Nicole Shanahan",Natural Law,6,0,0,6
Delta,"Bark River Township, Precinct 1",President,,Joseph Kishore / Jerry White,No Party Affiliation,1,0,0,1
Delta,"Bark River Township, Precinct 1",President,,Write-in,,1,0,0,1
Delta,"Bark River Township, Precinct 1",President,,Over Vote Count,,0,0,0,0
Delta,"Bark River Township, Precinct 1",President,,Under Vote Count,,1,0,0,1
Delta,"Bark River Township, Precinct 1",U.S. Senate,,Ballots Cast,,846,0,133,979
Delta,"Bark River Township, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,181,0,23,204
Delta,"Bark River Township, Precinct 1",U.S. Senate,,Mike Rogers,Republican,631,0,108,739
