county,precinct,office,district,candidate,party,votes,election_day,absentee,early_voting
Bay,City of Bay City Ward 3 Precinct 1,Trustee of Michigan State University State,,Janet M. Sanger,UST,45,24,15,6
Bay,City of Bay City Ward 3 Precinct 1,Trustee of Michigan State University State,,John Paul Sanger,UST,35,22,10,3
Bay,City of Bay City Ward 3 Precinct 1,Trustee of Michigan State University State,,John Anthony La Pietra,GRN,33,18,9,6
Bay,City of Bay City Ward 3 Precinct 1,Trustee of Michigan State University State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Rasha Demashkieh,DEM,829,291,418,120
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Mark T. Gaffney,DEM,836,288,427,121
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Michael Busuito,REP,596,323,157,116
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Sunny Reddy,REP,564,292,154,118
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Farid Ishac,LIB,33,24,5,4
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,William Mohr II,UST,37,25,10,2
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Sami Makhoul,GRN,22,9,8,5
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Suzanne Roehrig,WCP,72,33,31,8
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Kathleen Oakford,NLP,27,17,7,3
Bay,City of Bay City Ward 3 Precinct 1,Governor of Wayne State University State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,County Executive Bay County,,Jim Barcia,DEM,975,346,486,143
Bay,City of Bay City Ward 3 Precinct 1,County Executive Bay County,,Kevin Shark,REP,595,330,150,115
Bay,City of Bay City Ward 3 Precinct 1,County Executive Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Prosecuting Attorney Bay County,,Nancy E. Borushko,DEM,937,349,454,134
Bay,City of Bay City Ward 3 Precinct 1,Prosecuting Attorney Bay County,,Mike Kanuszewski,REP,711,381,195,135
Bay,City of Bay City Ward 3 Precinct 1,Prosecuting Attorney Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Sheriff Bay County,,Troy R. Cunningham,DEM,1261,533,540,188
Bay,City of Bay City Ward 3 Precinct 1,Sheriff Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Clerk Bay County,,Kathleen Zanotti,DEM,1244,519,538,187
Bay,City of Bay City Ward 3 Precinct 1,Clerk Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Treasurer Bay County,,Weston Prince,DEM,1220,509,531,180
Bay,City of Bay City Ward 3 Precinct 1,Treasurer Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Register of Deeds Bay County,,Brandon D. Krause,DEM,1220,509,532,179
Bay,City of Bay City Ward 3 Precinct 1,Register of Deeds Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,County Road Commissioner Bay County,,Michael J. Maillette,DEM,914,332,445,137
Bay,City of Bay City Ward 3 Precinct 1,County Road Commissioner Bay County,,Bill Schumacher,REP,715,392,196,127
Bay,City of Bay City Ward 3 Precinct 1,County Road Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Drain Commissioner Bay County,,Bill Jordan,DEM,873,309,432,132
Bay,City of Bay City Ward 3 Precinct 1,Drain Commissioner Bay County,,Michael Rivard,REP,756,414,211,131
Bay,City of Bay City Ward 3 Precinct 1,Drain Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,County Commissioner County Commissioner District 06,,Jesse Dockett,DEM,1197,497,525,175
Bay,City of Bay City Ward 3 Precinct 1,County Commissioner County Commissioner District 06,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Justice of Supreme Court Supreme Court,,Andrew Fink,,432,244,120,68
Bay,City of Bay City Ward 3 Precinct 1,Justice of Supreme Court Supreme Court,,Kimberly Ann Thomas,,909,358,417,134
Bay,City of Bay City Ward 3 Precinct 1,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Justice of Supreme Court Supreme Court,,Kyra Harris Bolden,,918,375,407,136
Bay,City of Bay City Ward 3 Precinct 1,Justice of Supreme Court Supreme Court,,Patrick William O'Grady,,416,223,127,66
Bay,City of Bay City Ward 3 Precinct 1,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Judge of Court of Appeals 4th District,,Stephen L. Borrello,,1091,515,425,151
Bay,City of Bay City Ward 3 Precinct 1,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Judge of Court of Appeals 4th District,,Allie Greenleaf Maldonado,,1082,506,426,150
Bay,City of Bay City Ward 3 Precinct 1,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Judge of Probate Court Bay County Probate Court,,Jan A. Miner,,1148,530,455,163
Bay,City of Bay City Ward 3 Precinct 1,Judge of Probate Court Bay County Probate Court,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Judge of District Court 74th District,,Timothy J. Kelly,,1148,533,449,166
Bay,City of Bay City Ward 3 Precinct 1,Judge of District Court 74th District,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Delta College Board of Trustees Member County of Bay Delta College,,Michael D. Rowley,,1089,509,428,152
Bay,City of Bay City Ward 3 Precinct 1,Delta College Board of Trustees Member County of Bay Delta College,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Delta College Board of Trustees Member County of Midland Delta College,,Stacey L. Gannon,,1049,501,400,148
Bay,City of Bay City Ward 3 Precinct 1,Delta College Board of Trustees Member County of Midland Delta College,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Delta College Board of Trustees Member County of Saginaw Delta College,,Alexis S. Thomas,,1036,491,401,144
Bay,City of Bay City Ward 3 Precinct 1,Delta College Board of Trustees Member County of Saginaw Delta College,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Mayor City of Bay City,,Andrea E. Burney,,486,256,149,81
Bay,City of Bay City Ward 3 Precinct 1,Mayor City of Bay City,,Christopher R. Girard,,814,338,361,115
Bay,City of Bay City Ward 3 Precinct 1,Mayor City of Bay City,,Write-ins,,42,13,29,0
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,Thomas A. Baird,,343,160,147,36
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,Christopher Connors,,309,160,107,42
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,David Hackett,,183,84,66,33
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,Wendy Legner,,641,242,302,97
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,Mason Pressler,,520,207,237,76
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,Carrie Sepeda,,523,228,220,75
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,David N. Welch,,378,154,162,62
Bay,City of Bay City Ward 3 Precinct 1,Local School District Board Member Bay City Public Schools,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 3 Precinct 1,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,Yes,,970,413,403,154
Bay,City of Bay City Ward 3 Precinct 1,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,No,,588,282,210,96
Bay,City of Bay City Ward 3 Precinct 1,Mosquito Control Millage Renewal Bay County,,Yes,,1246,517,529,200
Bay,City of Bay City Ward 3 Precinct 1,Mosquito Control Millage Renewal Bay County,,No,,326,183,92,51
Bay,City of Bay City Ward 3 Precinct 1,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,Yes,,1142,471,490,181
Bay,City of Bay City Ward 3 Precinct 1,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,No,,432,231,132,69
Bay,City of Bay City Ward 4 Precinct 1,Registered Voters - Total,,,,3165,,,
Bay,City of Bay City Ward 4 Precinct 1,Ballots Cast - Total,,,,1812,819,674,319
Bay,City of Bay City Ward 4 Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,Democrat,DEM,598,204,304,90
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,Republican,REP,444,228,107,109
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,Libertarian,LIB,9,7,1,1
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,U.S. Taxpayers,UST,6,6,0,0
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,Green,GRN,3,2,1,0
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,Working Class,WCP,14,13,0,1
Bay,City of Bay City Ward 4 Precinct 1,Straight Party Ticket,,Natural Law,NLP,3,2,0,1
Bay,City of Bay City Ward 4 Precinct 1,President,,Kamala D. Harris,DEM,963,346,468,149
Bay,City of Bay City Ward 4 Precinct 1,President,,Donald J. Trump,REP,801,446,192,163
Bay,City of Bay City Ward 4 Precinct 1,President,,Chase Oliver,LIB,6,3,2,1
Bay,City of Bay City Ward 4 Precinct 1,President,,Randall Terry,UST,1,0,1,0
Bay,City of Bay City Ward 4 Precinct 1,President,,Jill Stein,GRN,9,4,3,2
Bay,City of Bay City Ward 4 Precinct 1,President,,"Robert F. Kennedy, Jr.",NLP,18,13,4,1
Bay,City of Bay City Ward 4 Precinct 1,President,,Joseph Kishore,,4,2,1,1
Bay,City of Bay City Ward 4 Precinct 1,President,,Cornel West,,3,1,0,2
Bay,City of Bay City Ward 4 Precinct 1,President,,Write-ins,,1,1,0,0
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Elissa Slotkin,DEM,973,356,466,151
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Mike Rogers,REP,715,384,175,156
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Joseph Solis-Mullen,LIB,36,19,13,4
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Dave Stein,UST,27,18,5,4
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Douglas P. Marsh,GRN,19,15,4,0
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Doug Dern,NLP,10,5,4,1
Bay,City of Bay City Ward 4 Precinct 1,U.S. Senate,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,Kristen McDonald Rivet,DEM,1021,387,475,159
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,Paul Junge,REP,647,332,166,149
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,Steve Barcelo,LIB,33,22,7,4
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,James Allen Little,UST,13,10,3,0
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,Jim Casha,GRN,9,6,2,1
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,Kathy Goodwin,WCP,50,33,13,4
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,State House,96,"Rudy M. Howard, Jr.",DEM,898,332,425,141
Bay,City of Bay City Ward 4 Precinct 1,State House,96,Timothy Beson,REP,856,453,231,172
Bay,City of Bay City Ward 4 Precinct 1,State House,96,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Theodore Jones,DEM,844,303,407,134
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Adam Frederick Zemke,DEM,813,277,406,130
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Tom McMillin,REP,657,344,168,145
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Nikki Snyder,REP,665,345,179,141
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Scotty Boman,LIB,81,54,16,11
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Ted Gerrard,UST,41,25,8,8
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Christine C. Schwartz,UST,55,26,25,4
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Mary Anne Hering,WCP,112,71,30,11
Bay,City of Bay City Ward 4 Precinct 1,Member of the State Board of Education State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Shauna Ryder Diggs,DEM,864,321,411,132
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Denise Ilitch,DEM,878,308,425,145
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Carl Meyers,REP,703,370,189,144
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Sevag Vartanian,REP,578,301,143,134
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Andrew Chadderdon,LIB,94,62,20,12
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Donna M. Oetman,UST,80,45,28,7
Bay,City of Bay City Ward 4 Precinct 1,Regent of the University of Michigan State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Rebecca Bahar-Cook,DEM,872,324,411,137
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Thomas Stallworth III,DEM,806,278,400,128
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Mike Balow,REP,671,350,172,149
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Julie Maday,REP,641,332,174,135
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Grant T. Baker,LIB,73,44,20,9
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Janet M. Sanger,UST,59,35,21,3
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,John Paul Sanger,UST,48,27,13,8
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,John Anthony La Pietra,GRN,37,25,10,2
Bay,City of Bay City Ward 4 Precinct 1,Trustee of Michigan State University State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Rasha Demashkieh,DEM,822,297,392,133
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Mark T. Gaffney,DEM,838,302,405,131
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Michael Busuito,REP,652,337,173,142
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Sunny Reddy,REP,627,327,165,135
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Farid Ishac,LIB,44,27,9,8
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,William Mohr II,UST,31,20,8,3
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Sami Makhoul,GRN,26,18,6,2
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Suzanne Roehrig,WCP,102,62,31,9
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Kathleen Oakford,NLP,28,14,11,3
Bay,City of Bay City Ward 4 Precinct 1,Governor of Wayne State University State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,County Executive Bay County,,Jim Barcia,DEM,1046,389,490,167
Bay,City of Bay City Ward 4 Precinct 1,County Executive Bay County,,Kevin Shark,REP,645,352,154,139
Bay,City of Bay City Ward 4 Precinct 1,County Executive Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Prosecuting Attorney Bay County,,Nancy E. Borushko,DEM,951,360,449,142
Bay,City of Bay City Ward 4 Precinct 1,Prosecuting Attorney Bay County,,Mike Kanuszewski,REP,800,427,203,170
Bay,City of Bay City Ward 4 Precinct 1,Prosecuting Attorney Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Sheriff Bay County,,Troy R. Cunningham,DEM,1331,579,548,204
Bay,City of Bay City Ward 4 Precinct 1,Sheriff Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Clerk Bay County,,Kathleen Zanotti,DEM,1295,567,532,196
Bay,City of Bay City Ward 4 Precinct 1,Clerk Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Treasurer Bay County,,Weston Prince,DEM,1276,555,528,193
Bay,City of Bay City Ward 4 Precinct 1,Treasurer Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Register of Deeds Bay County,,Brandon D. Krause,DEM,1281,558,530,193
Bay,City of Bay City Ward 4 Precinct 1,Register of Deeds Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,County Road Commissioner Bay County,,Michael J. Maillette,DEM,928,354,436,138
Bay,City of Bay City Ward 4 Precinct 1,County Road Commissioner Bay County,,Bill Schumacher,REP,787,416,203,168
Bay,City of Bay City Ward 4 Precinct 1,County Road Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Drain Commissioner Bay County,,Bill Jordan,DEM,914,349,426,139
Bay,City of Bay City Ward 4 Precinct 1,Drain Commissioner Bay County,,Michael Rivard,REP,807,424,213,170
Bay,City of Bay City Ward 4 Precinct 1,Drain Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,County Commissioner County Commissioner District 06,,Jesse Dockett,DEM,1274,556,523,195
Bay,City of Bay City Ward 4 Precinct 1,County Commissioner County Commissioner District 06,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Justice of Supreme Court Supreme Court,,Andrew Fink,,411,226,112,73
Bay,City of Bay City Ward 4 Precinct 1,Justice of Supreme Court Supreme Court,,Kimberly Ann Thomas,,1004,392,444,168
Bay,City of Bay City Ward 4 Precinct 1,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Justice of Supreme Court Supreme Court,,Kyra Harris Bolden,,910,354,399,157
Bay,City of Bay City Ward 4 Precinct 1,Justice of Supreme Court Supreme Court,,Patrick William O'Grady,,490,249,160,81
Bay,City of Bay City Ward 4 Precinct 1,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Judge of Court of Appeals 4th District,,Stephen L. Borrello,,1194,527,469,198
Bay,City of Bay City Ward 4 Precinct 1,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Judge of Court of Appeals 4th District,,Allie Greenleaf Maldonado,,1173,515,462,196
Bay,City of Bay City Ward 4 Precinct 1,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Judge of Probate Court Bay County Probate Court,,Jan A. Miner,,1226,533,484,209
Bay,City of Bay City Ward 4 Precinct 1,Judge of Probate Court Bay County Probate Court,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Judge of District Court 74th District,,Timothy J. Kelly,,1224,535,481,208
Bay,City of Bay City Ward 4 Precinct 1,Judge of District Court 74th District,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Delta College Board of Trustees Member County of Bay Delta College,,Michael D. Rowley,,1182,528,455,199
Bay,City of Bay City Ward 4 Precinct 1,Delta College Board of Trustees Member County of Bay Delta College,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Delta College Board of Trustees Member County of Midland Delta College,,Stacey L. Gannon,,1126,512,426,188
Bay,City of Bay City Ward 4 Precinct 1,Delta College Board of Trustees Member County of Midland Delta College,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Delta College Board of Trustees Member County of Saginaw Delta College,,Alexis S. Thomas,,1109,500,424,185
Bay,City of Bay City Ward 4 Precinct 1,Delta College Board of Trustees Member County of Saginaw Delta College,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Mayor City of Bay City,,Andrea E. Burney,,462,236,143,83
Bay,City of Bay City Ward 4 Precinct 1,Mayor City of Bay City,,Christopher R. Girard,,906,379,379,148
Bay,City of Bay City Ward 4 Precinct 1,Mayor City of Bay City,,Write-ins,,37,16,21,0
Bay,City of Bay City Ward 4 Precinct 1,Council Member By Ward City of Bay City W4,,Benjamin B. Tenney,,1105,499,425,181
Bay,City of Bay City Ward 4 Precinct 1,Council Member By Ward City of Bay City W4,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,Thomas A. Baird,,427,181,184,62
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,Christopher Connors,,361,158,147,56
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,David Hackett,,187,90,55,42
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,Wendy Legner,,689,272,314,103
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,Mason Pressler,,479,208,197,74
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,Carrie Sepeda,,577,246,235,96
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,David N. Welch,,402,191,149,62
Bay,City of Bay City Ward 4 Precinct 1,Local School District Board Member Bay City Public Schools,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 4 Precinct 1,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,Yes,,967,420,379,168
Bay,City of Bay City Ward 4 Precinct 1,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,No,,681,299,251,131
Bay,City of Bay City Ward 4 Precinct 1,Mosquito Control Millage Renewal Bay County,,Yes,,1266,531,517,218
Bay,City of Bay City Ward 4 Precinct 1,Mosquito Control Millage Renewal Bay County,,No,,380,187,114,79
Bay,City of Bay City Ward 4 Precinct 1,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,Yes,,1144,464,484,196
Bay,City of Bay City Ward 4 Precinct 1,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,No,,492,246,148,98
Bay,City of Bay City Ward 5 Precinct 1,Registered Voters - Total,,,,3095,,,
Bay,City of Bay City Ward 5 Precinct 1,Ballots Cast - Total,,,,2124,946,876,302
Bay,City of Bay City Ward 5 Precinct 1,Ballots Cast - Blank,,,,1,0,1,0
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,Democrat,DEM,614,195,353,66
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,Republican,REP,469,232,129,108
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,Libertarian,LIB,4,4,0,0
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,U.S. Taxpayers,UST,0,0,0,0
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,Green,GRN,1,1,0,0
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,Working Class,WCP,12,7,5,0
Bay,City of Bay City Ward 5 Precinct 1,Straight Party Ticket,,Natural Law,NLP,1,0,0,1
Bay,City of Bay City Ward 5 Precinct 1,President,,Kamala D. Harris,DEM,1091,391,578,122
Bay,City of Bay City Ward 5 Precinct 1,President,,Donald J. Trump,REP,987,531,280,176
Bay,City of Bay City Ward 5 Precinct 1,President,,Chase Oliver,LIB,8,6,1,1
Bay,City of Bay City Ward 5 Precinct 1,President,,Randall Terry,UST,1,0,1,0
Bay,City of Bay City Ward 5 Precinct 1,President,,Jill Stein,GRN,4,4,0,0
Bay,City of Bay City Ward 5 Precinct 1,President,,"Robert F. Kennedy, Jr.",NLP,10,6,4,0
Bay,City of Bay City Ward 5 Precinct 1,President,,Joseph Kishore,,1,0,1,0
Bay,City of Bay City Ward 5 Precinct 1,President,,Cornel West,,2,1,0,1
Bay,City of Bay City Ward 5 Precinct 1,President,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Elissa Slotkin,DEM,1117,406,587,124
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Mike Rogers,REP,886,464,252,170
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Joseph Solis-Mullen,LIB,22,16,5,1
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Dave Stein,UST,29,20,8,1
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Douglas P. Marsh,GRN,14,10,3,1
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Doug Dern,NLP,4,2,1,1
Bay,City of Bay City Ward 5 Precinct 1,U.S. Senate,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,Kristen McDonald Rivet,DEM,1176,446,602,128
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,Paul Junge,REP,813,416,238,159
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,Steve Barcelo,LIB,30,23,5,2
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,James Allen Little,UST,9,4,4,1
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,Jim Casha,GRN,12,9,2,1
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,Kathy Goodwin,WCP,38,23,8,7
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 5 Precinct 1,State House,96,"Rudy M. Howard, Jr.",DEM,998,357,529,112
Bay,City of Bay City Ward 5 Precinct 1,State House,96,Timothy Beson,REP,1048,552,311,185
Bay,City of Bay City Ward 5 Precinct 1,State House,96,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Theodore Jones,DEM,945,331,505,109
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Adam Frederick Zemke,DEM,923,311,510,102
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Tom McMillin,REP,797,413,221,163
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Nikki Snyder,REP,773,396,221,156
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Scotty Boman,LIB,80,45,24,11
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Ted Gerrard,UST,37,22,14,1
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Christine C. Schwartz,UST,51,35,13,3
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Mary Anne Hering,WCP,119,72,34,13
Bay,City of Bay City Ward 5 Precinct 1,Member of the State Board of Education State,,Write-ins,,0,0,0,0
Bay,City of Bay City Ward 5 Precinct 1,Regent of the University of Michigan State,,Shauna Ryder Diggs,DEM,960,338,512,110
Bay,City of Bay City Ward 5 Precinct 1,Regent of the University of Michigan State,,Denise Ilitch,DEM,991,349,540,102
Bay,City of Bay City Ward 5 Precinct 1,Regent of the University of Michigan State,,Carl Meyers,REP,840,444,236,160
