county,office,district,candidate,party,election_day,absentee,votes
Kalamazoo,State House,60,Julie M. Rogers,Democratic Party,,,30037
Kalamazoo,State House,60,Gary Mitchell,Republican Party,,,10043
Kalamazoo,State House,60,Write-in,NONPARTISAN,,,2179
Kalamazoo,State House,60,Stephanie L. Moore,,,,1980
Kalamazoo,State House,61,Christine Morse,Democratic Party,,,31888
Kalamazoo,State House,61,Bronwyn Haltom,Republican Party,,,27088
Kalamazoo,State House,61,Write-in,NONPARTISAN,,,20
Kalamazoo,State House,63,Luke Howell,Democratic Party,,,11406
Kalamazoo,State House,63,Matt Hall,Republican Party,,,15930
Kalamazoo,State House,63,Rafael Wolf,Libertarian Party,,,652
Kalamazoo,State House,63,John Anthony LaPietra,Green Party,,,294
Kalamazoo,State House,63,Write-in,NONPARTISAN,,,63
Kalamazoo,State House,63,Ronald Lee Hawkins,,,,0
Kalamazoo,State House,66,Abigail Wheeler,Democratic Party,,,4042
Kalamazoo,State House,66,Beth Griffin,Republican Party,,,5450
Kalamazoo,State House,66,Write-in,NONPARTISAN,,,35
Iron,Straight Party,,Democratic Party,DEM,,,1231
Iron,Straight Party,,Republican Party,REP,,,2220
Iron,Straight Party,,Libertarian Party,LIB,,,15
Iron,Straight Party,,U.S. Taxpayers Party,UST,,,7
Iron,Straight Party,,Working Class Party,WCP,,,22
Iron,Straight Party,,Green Party,GRN,,,9
Iron,Straight Party,,Natural Law Party,NLP,,,5
Iron,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,2493
Iron,President,,Donald J. TrumpMicheal R. Pence,REP,,,4216
Iron,President,,Jo Jorgensen/ Jeremy Cohen,LIB,,,54
Iron,President,,Don Blankenship/William Mohr,UST,,,8
Iron,President,,Howie Hawkins/Angela Walker,GRN,,,14
Iron,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,4
Iron,U.S. Senate,,Gary Peters,DEM,,,2554
Iron,U.S. Senate,,John James,REP,,,"4 ,063"
Iron,U.S. Senate,,Valerie L. Willis,UST,,,51
Iron,U.S. Senate,,Marcia Squier,GRN,,,39
Iron,U.S. Senate,,Doug Dern,NLP,,,12
Iron,U.S. House,1,Dana Ferguson,DEM,,,2306
Iron,U.S. House,1,Jack Bergman,REP,,,4318
Iron,U.S. House,1,Ben Boren,LIB,,,73
Iron,State House,110,Janet Metsa,DEM,,,2508
Iron,State House,110,Gregory Markkanen,REP,,,4055
Iron,State House,110,Rick Sauermilch,GRN,,,87
Iosco,Straight Party,,Democratic Party,DEM,,,2455
Iosco,Straight Party,,Republican Party,REP,,,5043
Iosco,Straight Party,,Libertarian Party,LIB,,,56
Iosco,Straight Party,,U.S. Taxpayers Party,UST,,,19
Iosco,Straight Party,,Working Class Party,WCP,,,40
Iosco,Straight Party,,Green Party,GRN,,,20
Iosco,Straight Party,,Natural Law Party,NLP,,,3
Iosco,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,5373
Iosco,President,,Donald J. TrumpMicheal R. Pence,REP,,,9759
Iosco,President,,Jo Jorgensen/ Jeremy Cohen,LIB,,,152
Iosco,President,,Don Blankenship/William Mohr,UST,,,31
Iosco,President,,Howie Hawkins/Angela Walker,GRN,,,33
Iosco,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,11
Iosco,President,,Write-in,,,,28
Iosco,U.S. Senate,,Gary Peters,DEM,,,5804
Iosco,U.S. Senate,,John James,REP,,,9040
Iosco,U.S. Senate,,Valerie L. Willis,UST,,,153
Iosco,U.S. Senate,,Marcia Squier,GRN,,,95
Iosco,U.S. Senate,,Doug Dern,NLP,,,43
Iosco,U.S. Senate,,Write-in,,,,16
Iosco,U.S. House,5,Daniel T. Kildee,DEM,,,5663
Iosco,U.S. House,5,Tim Kelly,REP,,,8700
Iosco,U.S. House,5,James Harris,LIB,,,249
Iosco,U.S. House,5,Kathy Goodwin,WCP,,,357
Iosco,U.S. House,5,Write-in,,,,15
Iosco,State House,106,LeeAnn Johnson (DEM),DEM,,,4804
Iosco,State House,106,Sue Allor (REP),REP,,,10035
Iosco,State House,106,Write-in,,,,46
Ionia,Straight Party,,Democratic Party,DEM,,,5335
Ionia,Straight Party,,Republican Party,REP,,,12440
Ionia,Straight Party,,Libertarian Party,LIB,,,133
Ionia,Straight Party,,U.S. Taxpayers Party,UST,,,34
Ionia,Straight Party,,Working Class Party,WCP,,,115
Ionia,Straight Party,,Green Party,GRN,,,34
Ionia,Straight Party,,Natural Law Party,NLP,,,24
Ionia,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,10901
Ionia,President,,Donald J. TrumpMicheal R. Pence,REP,,,20657
Ionia,President,,Jo Jorgensen/ Jeremy Cohen,LIB,,,490
Ionia,President,,Don Blankenship/William Mohr,UST,,,55
Ionia,President,,Howie Hawkins/Angela Walker,GRN,,,79
Ionia,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,23
Ionia,President,,Kasey Wells (W),,,,0
Ionia,President,,Brian T. Carroll (W),,,,4
Ionia,President,,Tara Renee Hunter (W),,,,0
Ionia,President,,Tom Hoefling (W),,,,0
Ionia,President,,Jade Simmons (W),,,,0
Ionia,U.S. Senate,,Gary Peters,DEM,,,10639
Ionia,U.S. Senate,,John James,REP,,,20361
Ionia,U.S. Senate,,Valerie L. Willis,UST,,,436
Ionia,U.S. Senate,,Marcia Squier,GRN,,,239
Ionia,U.S. Senate,,Doug Dern,NLP,,,87
Ionia,U.S. Senate,,Leonard Paul Gadzinski (W),,,,0
Ionia,U.S. Senate,,Robert William Carr (W),,,,0
Ionia,U.S. House,3,Hillary Scholten,DEM,,,11086
Ionia,U.S. House,3,Peter Meijer,REP,,,20258
Ionia,U.S. House,3,Shannon Ruth Hogan (W),,,,0
Ionia,U.S. House,3,Richard David Fuentes (W),,,,0
Ionia,State House,86,Sue Hayes,DEM,,,3780
Ionia,State House,86,Thomas A. Albert,REP,,,7234
Ionia,State House,87,Jay Molette,DEM,,,5380
Ionia,State House,87,Julie A. Calley,REP,,,14564
Huron,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,5349
Huron,President,,Donald J. TrumpMicheal R. Pence,REP,,,12349
Huron,President,,Jo Jorgensen/ Jeremy Cohen,LIB,,,139
Huron,President,,Don Blankenship/William Mohr,UST,,,22
Huron,President,,Howie Hawkins/Angela Walker,GRN,,,32
Huron,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,17
Huron,President,,Unresolved Write-in,,,,15
Huron,U.S. Senate,,Gary Peters,DEM,,,5863
Huron,U.S. Senate,,John James,REP,,,11633
Huron,U.S. Senate,,Valerie L. Willis,UST,,,113
Huron,U.S. Senate,,Marcia Squier,GRN,,,64
Huron,U.S. Senate,,Doug Dern,NLP,,,44
Huron,U.S. Senate,,Unresolved Write-in,,,,17
Huron,U.S. House,10,Kimberly Bizon,DEM,,,4890
Huron,U.S. House,10,Lisa McClain,REP,,,12423
Huron,U.S. House,10,Unresolved Write-in,,,,34
Huron,State House,84,Patrick J. Wood,DEM,,,4576
Huron,State House,84,Phil Green,REP,,,12707
Huron,State House,84,Unresolved Write-in,,,,39
Allegan,Straight Party,,Democratic Party,DEM,,,11822
Allegan,Straight Party,,Republican Party,REP,,,26840
Allegan,Straight Party,,Libertarian Party,LIB,,,248
Allegan,Straight Party,,U.S. Taxpayers Party,UST,,,52
Allegan,Straight Party,,Working Class Party,WC,,,166
Allegan,Straight Party,,Green Party,GRN,,,53
Allegan,Straight Party,,Natural Law Party,NAT,,,27
Allegan,Straight Party,,Unresolved Write-in,,,,0
Allegan,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,24449
Allegan,President,,Donald J. Trump/Michael R. Pence,REP,,,41392
Allegan,President,,Jo Jorgensen/Jeremy Cohen,LIB,,,943
Allegan,President,,Don Blankenship/William Mohr,UST,,,118
Allegan,President,,Howie Hawkins/Angela Walker,GRN,,,143
Allegan,President,,Rocky De La Fuente/Darcy Richardson,NAT,,,37
Allegan,President,,Unresolved Write-in,,,,113
Allegan,U.S. Senate,,Gary Peters,DEM,,,22939
Allegan,U.S. Senate,,John James,REP,,,42362
Allegan,U.S. Senate,,Valerie L. Willis,UST,,,594
Allegan,U.S. Senate,,Marcia Squier,GRN,,,416
Allegan,U.S. Senate,,Doug Dern,NAT,,,132
Allegan,U.S. Senate,,Unresolved Write-in,,,,33
Allegan,U.S. House,2,Bryan Berghoef,DEM,,,653
Allegan,U.S. House,2,Bill Huizenga,REP,,,498
Allegan,U.S. House,2,Max Riekse,LIB,,,14
Allegan,U.S. House,2,Gerald T. Van Sickle,UST,,,9
Allegan,U.S. House,2,Jean-Michel Creviere,GRN,,,8
Allegan,U.S. House,2,Unresolved Write-in,,,,0
Allegan,U.S. House,6,Jon Hoadley,DEM,,,19296
Allegan,U.S. House,6,Fred Upton,REP,,,42949
Allegan,U.S. House,6,Jeff DePoy,LIB,,,1763
Allegan,U.S. House,6,John Lawrence,GRN,,,741
Allegan,U.S. House,6,Unresolved Write-in,,,,98
Allegan,State House,72,Lily Cheng-Schulting,DEM,,,3186
Allegan,State House,72,Steven Johnson,REP,,,9337
Allegan,State House,72,Unresolved Write-in,,,,27
Allegan,State House,80,Erik Almquist,DEM,,,17637
Allegan,State House,80,Mary Whiteford,REP,,,34999
Allegan,State House,80,Unresolved Write-in,,,,159
Arenac,Straight Party,,Democratic Party,DEM,,,1248
Arenac,Straight Party,,Republican Party,REP,,,3074
Arenac,Straight Party,,Libertarian Party,LIB,,,30
Arenac,Straight Party,,U.S. Taxpayers Party,UST,,,16
Arenac,Straight Party,,Working Class Party,WCP,,,39
Arenac,Straight Party,,Green Party,GRN,,,7
Arenac,Straight Party,,Natural Law Party,NLP,,,7
Arenac,Straight Party,,Unresolved Write-in,,,,0
Arenac,President,,Joseph R. Biden / Kamala D. Harris,DEM,,,2774
Arenac,President,,Donald J. Trump / Michael R. Pence,REP,,,5928
Arenac,President,,Jo Jorgensen / Jeremy Cohen,LIB,,,97
Arenac,President,,Don Blankenship / William Mohr,UST,,,17
Arenac,President,,Howie Hawkins / Angela Walker,GRN,,,12
Arenac,President,,Rocky De La Fuente / Darcy Richardson,NLP,,,3
Arenac,President,,Brian T. Carroll,,,,0
Arenac,President,,Tom Hoefling,,,,0
Arenac,President,,Tara Renee Hunter,,,,0
Arenac,President,,Jade Simmons,,,,0
Arenac,President,,Kaey Wills,,,,0
Arenac,,,Unresolved Write-in,,,,8
Arenac,U.S. Senate,,Gary Peters,DEM,,,3085
Arenac,U.S. Senate,,John James,REP,,,5443
Arenac,U.S. Senate,,Valerie L. Willis,UST,,,103
Arenac,U.S. Senate,,Marcia Squier,GRN,,,48
Arenac,U.S. Senate,,Doug Dern,NLP,,,33
Arenac,U.S. Senate,,Robert William Carr,,,,0
Arenac,U.S. Senate,,Leonard Paul Gadzinski,,,,0
Arenac,U.S. Senate,,Unresolved Write-in,,,,8
Arenac,U.S. House,5,Daniel T. Kildee,DEM,,,3014
Arenac,U.S. House,5,Tim Kelly,REP,,,5204
Arenac,U.S. House,5,James Harris,LIB,,,125
Arenac,U.S. House,5,Kathy Goodwin,WCP,,,242
Arenac,U.S. House,5,Unresolved Write-in,,,,18
Arenac,State House,97,Celia Young-Wenkel,DEM,,,2732
Arenac,State House,97,Jason Wentworth,REP,,,5656
Arenac,State House,97,Unresolved Write-in,,,,18
Charlevoix,Straight Party,,Democratic Party,DEM,,,3195
Charlevoix,Straight Party,,Republican Party,REP,,,5754
Charlevoix,Straight Party,,Libertarian Party,LIB,,,50
Charlevoix,Straight Party,,U.S. Taxpayers Party,UST,,,8
Charlevoix,Straight Party,,Working Class Party,WCP,,,38
Charlevoix,Straight Party,,Green Party,GRN,,,21
Charlevoix,Straight Party,,Natural Law Party,NLP,,,1
Charlevoix,Straight Party,,Unresolved Write-in,,,,0
Charlevoix,President,,Joseph R. Biden / Kamala D. Harris,DEM,,,6939
Charlevoix,President,,Donald J. Trump / Michael R. Pence,REP,,,9841
Charlevoix,President,,Jo Jorgensen / Jeremy Cohen,LIB,,,160
Charlevoix,President,,Don Blankenship / William Mohr,UST,,,13
Charlevoix,President,,Howie Hawkins / Angela Walker,GRN,,,43
Charlevoix,President,,Rocky De La Fuente / Darcy Richardson,NLP,,,4
Charlevoix,President,,Brian T. Carroll,,,,2
Charlevoix,President,,Unresolved Write-in,,,,28
Charlevoix,U.S. Senate,,Gary Peters,DEM,,,6664
Charlevoix,U.S. Senate,,John James,REP,,,10030
Charlevoix,U.S. Senate,,Valerie L. Willis,UST,,,83
Charlevoix,U.S. Senate,,Marcia Squier,GRN,,,82
Charlevoix,U.S. Senate,,Doug Dern,NLP,,,29
Charlevoix,U.S. Senate,,Unresolved Write-in,,,,9
Charlevoix,U.S. House,1,Dana Ferguson,DEM,,,5989
Charlevoix,U.S. House,1,Jack Bergman,REP,,,10498
Charlevoix,U.S. House,1,Ben Boren,LIB,,,274
Charlevoix,U.S. House,1,Unresolved Write-in,,,,11
Charlevoix,State House,105,Jonathan Burke,DEM,,,6461
Charlevoix,State House,105,Ken Borton,REP,,,9939
Charlevoix,State House,105,Unresolved Write-in,,,,42
Chippewa,Straight Party,,Democratic Party,DEM,,,3255
Chippewa,Straight Party,,Republican Party,REP,,,5570
Chippewa,Straight Party,,Libertarian Party,LIB,,,84
Chippewa,Straight Party,,U.S. Taxpayers Party,UST,,,22
Chippewa,Straight Party,,Working Class Party,WCP,,,84
Chippewa,Straight Party,,Green Party,GRN,,,28
Chippewa,Straight Party,,Natural Law Party,NLP,,,16
Chippewa,Straight Party,,Unresolved Write-in,,,,0
Chippewa,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,6648
Chippewa,President,,Donald J. Trump/Michael R. Pence,REP,,,10681
Chippewa,President,,Jo Jorgensen/Jeremy Cohen,LIB,,,233
Chippewa,President,,Don Blankenship/William Mohr,UST,,,26
Chippewa,President,,Howie Hawkins/Angela Walker,GRN,,,39
Chippewa,President,,Rocky De La Fuente/Darcy Richardson,NLP,,,13
Chippewa,President,,Unresolved Write-in,,,,31
Chippewa,U.S. Senate,,Gary Peters,DEM,,,6729
Chippewa,U.S. Senate,,John James,REP,,,10497
Chippewa,U.S. Senate,,Valerie L. Willis,UST,,,128
Chippewa,U.S. Senate,,Marcia Squier,GRN,,,102
Chippewa,U.S. Senate,,Doug Dern,NLP,,,33
Chippewa,U.S. Senate,,Unresolved Write-in,,,,11
Chippewa,U.S. House,1,Dana Ferguson,DEM,,,5765
Chippewa,U.S. House,1,Jack Bergman,REP,,,11364
Chippewa,U.S. House,1,Ben Boren,LIB,,,251
Chippewa,U.S. House,1,Unresolved Write-in,,,,23
Chippewa,State House,107,Jim Page,DEM,,,6544
Chippewa,State House,107,John N. Damoose,REP,,,10493
Chippewa,State House,107,Unresolved Write-in,,,,42
Lake,Straight Party,,Democratic Party,DEM,,,1022
Lake,Straight Party,,Republican Party,REP,,,2079
Lake,Straight Party,,Libertarian Party,LIB,,,28
Lake,Straight Party,,U.S. Taxpayers Party,UST,,,17
Lake,Straight Party,,Working Class Party,WCP,,,18
Lake,Straight Party,,Green Party,GRN,,,7
Lake,Straight Party,,Natural Law Party,NLP,,,4
Lake,Straight Party,,Unresolved Write-in,,,,0
Lake,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,2288
Lake,President,,Donald J. Trump/Michael R. Pence,REP,,,3946
Lake,President,,Jo Jorgensen/Jeremy Cohen,LIB,,,65
Lake,President,,Don Blankenship/William Mohr,UST,,,9
Lake,President,,Howie Hawkins/Angela Walker,GRN,,,12
Lake,President,,Rocky De La Fuente/Darcy Richardson,NLP,,,3
Lake,President,,Total Write-in,,,,9
Lake,U.S. Senate,,Gary Peters,DEM,,,2286
Lake,U.S. Senate,,John James,REP,,,3804
Lake,U.S. Senate,,Valerie L. Willis,UST,,,85
Lake,U.S. Senate,,Marcia Squier,GRN,,,28
Lake,U.S. Senate,,Doug Dern,NLP,,,21
Lake,U.S. Senate,,Total Write-in,,,,5
Lake,U.S. House,2,Bryan Berghoef,,,,2003
Lake,U.S. House,2,Bill Huizenga,,,,3923
Lake,U.S. House,2,Max Riekse,,,,59
Lake,U.S. House,2,Gerald T. Van Sickle,,,,118
Lake,U.S. House,2,Jean-Michel Creviere,,,,37
Lake,U.S. House,2,Total write-in,,,,12
Lake,State House,100,Sandy Clarke,,,,2274
Lake,State House,100,Scott A. VanSingel,,,,3863
Lake,State House,100,Total write-in,,,,17
Berrien,Straight Party,,Democratic Party,DEM,,,21026
Berrien,Straight Party,,Republican Party,REP,,,27735
Berrien,Straight Party,,Libertarian Party,LIB,,,331
Berrien,Straight Party,,U.S. Taxpayers Party,UST,,,90
Berrien,Straight Party,,Working Class Party,WCP,,,257
Berrien,Straight Party,,Green Party,GRN,,,83
Berrien,Straight Party,,Natural Law Party,NLP,,,49
Berrien,Straight Party,,Unresolved Write-in,,,,
Berrien,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,37438
Berrien,President,,Donald J. Trump/Michael R. Pence,REP,,,43519
Berrien,President,,Jo Jorgensen/Jeremy Cohen,LIB,,,1062
Berrien,President,,Don Blankenship/William Mohr,UST,,,140
Berrien,President,,Howie Hawkins/Angela Walker,GRN,,,173
Berrien,President,,Rocky De La Fuente/Darcy Richardson,NLP,,,47
Berrien,President,,Total Write-in,,,,186
Berrien,President,,QW - Brian T. Carroll,,,,11
Berrien,President,,QW - Tom Hoeﬂing,,,,0
Berrien,President,,QW - Tara Renee Hunter,,,,0
Berrien,President,,QW - Jade Simmons,,,,1
Berrien,President,,QW - Kasey Wells,,,,0
Berrien,President,,Unqualified Write-Ins,,,,174
Berrien,U.S. Senate,,Gary Peters,DEM,,,34777
Berrien,U.S. Senate,,John James,REP,,,44801
Berrien,U.S. Senate,,Valerie L. Willis,UST,,,764
Berrien,U.S. Senate,,Marcia Squier,GRN,,,568
Berrien,U.S. Senate,,Doug Dern,NLP,,,209
Berrien,U.S. Senate,,Total write-in,,,,90
Berrien,U.S. Senate,,QW - Robert William Carr,,,,0
Berrien,U.S. Senate,,QW - Leonard Paul Gadzinski,,,,0
Berrien,U.S. Senate,,Unqualified Write-Ins,,,,90
Berrien,U.S. House,6,Jon Hoadley,,,,32279
Berrien,U.S. House,6,Fred Upton,,,,45366
Berrien,U.S. House,6,Jeff DePoy,,,,2615
Berrien,U.S. House,6,John Lawrence,,,,829
Berrien,U.S. House,6,Total write-in,,,,150
Berrien,U.S. House,6,QW - Jerry Solis,,,,5
Berrien,U.S. House,6,Unqualified Write-Ins,,,,145
Berrien,State House,78,Dan VandenHeede,,,,13328
Berrien,State House,78,Brad Paquette,,,,21543
Berrien,State House,78,Andrew J. Warner,,,,526
Berrien,State House,78,Total write-in,,,,56
Berrien,State House,79,Chokwe Pitchford,,,,19658
Berrien,State House,79,Pauline Wendzel,,,,25656
Berrien,State House,79,Total write-in,,,,86
Branch,Straight Party,,Democratic Party,DEM,,,3124
Branch,Straight Party,,Republican Party,REP,,,8853
Branch,Straight Party,,Libertarian Party,LIB,,,62
Branch,Straight Party,,U.S. Taxpayers Party,UST,,,25
Branch,Straight Party,,Working Class Party,WCP,,,65
Branch,Straight Party,,Green Party,GRN,,,26
Branch,Straight Party,,Natural Law Party,NLP,,,16
Branch,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,6159
Branch,President,,Donald J. Trump/Michael R. Pence,REP,,,14064
Branch,President,,Jo Jorgensen/Jeremy Cohen,LIB,,,216
Branch,President,,Don Blankenship/William Mohr,UST,,,38
Branch,President,,Howie Hawkins/Angela Walker,GRN,,,47
Branch,President,,Rocky De La Fuente/Darcy Richardson,NLP,,,12
Branch,President,,Total Write-in,,,,37
Branch,U.S. Senate,,Gary Peters,DEM,,,6119
Branch,U.S. Senate,,John James,REP,,,13682
Branch,U.S. Senate,,Valerie L. Willis,UST,,,278
Branch,U.S. Senate,,Marcia Squier,GRN,,,132
Branch,U.S. Senate,,Doug Dern,NLP,,,69
Branch,U.S. Senate,,Total write-in,,,,17
Branch,U.S. House,7,Gretchen D. Driskell,,,,5929
Branch,U.S. House,7,Tim Walberg,,,,14223
Branch,U.S. House,7,Total write-in,,,,41
Branch,State House,58,Tamara C. Barnes,,,,6385
Branch,State House,58,Andrew Fink,,,,13606
Branch,State House,58,Total write-in,,,,52
Cass,Straight Party,,Democratic Party,,,,4890
Cass,Straight Party,,Republican Party,,,,10560
Cass,Straight Party,,Libertarian Party,,,,103
Cass,Straight Party,,U.S. Taxpayers Party,,,,31
Cass,Straight Party,,Working Class Party,,,,86
Cass,Straight Party,,Green Party,,,,31
Cass,Straight Party,,Natural Law Party,,,,8
Cass,President,,Joseph R. Biden/Kamala D. Harris,,,,9130
Cass,President,,Donald J. Trump/Michael R. Pence,,,,16699
Cass,President,,Jo Jorgensen/Jeremy Cohen,,,,286
Cass,President,,Don Blankenship/William Mohr,,,,40
Cass,President,,Howie Hawkins/Angela Walker,,,,45
Cass,President,,Rocky De La Fuente/Darcy Richardson,,,,13
Cass,President,,Total Write-in,,,,29
Cass,U.S. Senate,,Gary Peters,,,,8565
Cass,U.S. Senate,,John James,,,,16814
Cass,U.S. Senate,,Valerie L. Willis,,,,253
Cass,U.S. Senate,,Marcia Squier,,,,161
Cass,U.S. Senate,,Doug Dern,,,,58
Cass,U.S. Senate,,Total write-in,,,,29
Cass,U.S. House,6,Jon Hoadley,,,,7811
Cass,U.S. House,6,Fred Upton,,,,16744
Cass,U.S. House,6,Jeff DePoy,,,,913
Cass,U.S. House,6,John Lawrence,,,,283
Cass,U.S. House,6,Total write-in,,,,94
Cass,State House,59,Amy L. East,,,,5705
Cass,State House,59,Steve Carra,,,,9562
Cass,State House,59,Total write-in,,,,179
Cass,State House,78,Dan VandenHeede,,,,2969
Cass,State House,78,Brad Paquette,,,,6942
Cass,State House,78,Andrew J. Warner,,,,112
Cass,State House,78,Total write-in,,,,14
Isabella,Straight Party,,Democratic Party,,,,6859
Isabella,Straight Party,,Republican Party,,,,8566
Isabella,Straight Party,,Libertarian Party,,,,121
Isabella,Straight Party,,U.S. Taxpayers Party,,,,33
Isabella,Straight Party,,Working Class Party,,,,116
Isabella,Straight Party,,Green Party,,,,52
Isabella,Straight Party,,Natural Law Party,,,,23
Isabella,President,,Joseph R. Biden/Kamala D. Harris,,,,14072
Isabella,President,,Donald J. Trump/Michael R. Pence,,,,14815
Isabella,President,,Jo Jorgensen/Jeremy Cohen,,,,365
Isabella,President,,Don Blankenship/William Mohr,,,,35
Isabella,President,,Howie Hawkins/Angela Walker,,,,102
Isabella,President,,Rocky De La Fuente/Darcy Richardson,,,,20
Isabella,President,,Total Write-in,,,,67
Isabella,U.S. Senate,,Gary Peters,,,,13849
Isabella,U.S. Senate,,John James,,,,14673
Isabella,U.S. Senate,,Valerie L. Willis,,,,243
Isabella,U.S. Senate,,Marcia Squier,,,,233
Isabella,U.S. Senate,,Doug Dern,,,,87
Isabella,U.S. Senate,,Total write-in,,,,31
Isabella,U.S. House,4,Jerry Hilliard,,,,12074
Isabella,U.S. House,4,John Moolenaar,,,,15714
Isabella,U.S. House,4,David Canny,,,,417
Isabella,U.S. House,4,Amy Slepr,,,,474
Isabella,U.S. House,4,Total write-in,,,,45
Isabella,State House,99,John Zang,,,,11651
Isabella,State House,100,Roger Hauck,,,,16485
Isabella,State House,101,Melissa Noelle Lambert,,,,720
Isabella,State House,102,Total write-in,,,,46
Newaygo,Straight Party,,Democratic Party,,,,4016
Newaygo,Straight Party,,Republican Party,,,,12119
Newaygo,Straight Party,,Libertarian Party,,,,97
Newaygo,Straight Party,,U.S. Taxpayers Party,,,,30
Newaygo,Straight Party,,Working Class Party,,,,85
Newaygo,Straight Party,,Green Party,,,,27
Newaygo,Straight Party,,Natural Law Party,,,,9
Newaygo,President,,Joseph R. Biden/Kamala D. Harris,,,,7873
Newaygo,President,,Donald J. Trump/Michael R. Pence,,,,18857
Newaygo,President,,Jo Jorgensen/Jeremy Cohen,,,,331
Newaygo,President,,Don Blankenship/William Mohr,,,,28
Newaygo,President,,Howie Hawkins/Angela Walker,,,,56
Newaygo,President,,Rocky De La Fuente/Darcy Richardson,,,,11
Newaygo,President,,Total Write-in,,,,41
Newaygo,President,,QW - Brian T. Carroll,,,,5
Newaygo,President,,QW - Tom Hoeﬂing,,,,0
Newaygo,President,,QW - Tara Renee Hunter,,,,0
Newaygo,President,,QW - Jade Simmons,,,,0
Newaygo,President,,QW - Kasey Wells,,,,0
Newaygo,President,,Unqualified Write-Ins,,,,36
Newaygo,U.S. Senate,,Gary Peters,,,,7696
Newaygo,U.S. Senate,,John James,,,,18593
Newaygo,U.S. Senate,,Valerie L. Willis,,,,332
Newaygo,U.S. Senate,,Marcia Squier,,,,174
Newaygo,U.S. Senate,,Doug Dern,,,,101
Newaygo,U.S. Senate,,Total write-in,,,,27
Newaygo,U.S. Senate,,QW - Robert William Carr,,,,0
Newaygo,U.S. Senate,,QW - Leonard Paul Gadzinski,,,,0
Newaygo,U.S. Senate,,Unqualified Write-Ins,,,,27
Newaygo,U.S. House,2,Bryan Berghoef,,,,6753
Newaygo,U.S. House,2,Bill Huizenga,,,,19083
Newaygo,U.S. House,2,Max Riekse,,,,353
Newaygo,U.S. House,2,Gerald T. Van Sickle,,,,348
Newaygo,U.S. House,2,Jean-Michel Creviere,,,,157
Newaygo,U.S. House,2,Total write-in,,,,43
Newaygo,State House,100,Sandy Clarke,,,,7014
Newaygo,State House,100,Scott A. VanSingel,,,,19422
Newaygo,State House,100,Total write-in,,,,109
Saginaw,Straight Party,,Democratic Party,,,,32307
Saginaw,Straight Party,,Republican Party,,,,25795
Saginaw,Straight Party,,Libertarian Party,,,,335
Saginaw,Straight Party,,U.S. Taxpayers Party,,,,107
Saginaw,Straight Party,,Working Class Party,,,,315
Saginaw,Straight Party,,Green Party,,,,101
Saginaw,Straight Party,,Natural Law Party,,,,71
Saginaw,President,,Joseph R. Biden/Kamala D. Harris,,,,51088
Saginaw,President,,Donald J. Trump/Michael R. Pence,,,,50785
Saginaw,President,,Jo Jorgensen/Jeremy Cohen,,,,1007
Saginaw,President,,Don Blankenship/William Mohr,,,,160
Saginaw,President,,Howie Hawkins/Angela Walker,,,,231
Saginaw,President,,Rocky De La Fuente/Darcy Richardson,,,,76
Saginaw,President,,Total Write-in,,,,136
Saginaw,U.S. Senate,,Gary Peters,,,,51520
Saginaw,U.S. Senate,,John James,,,,49209
Saginaw,U.S. Senate,,Valerie L. Willis,,,,860
Saginaw,U.S. Senate,,Marcia Squier,,,,525
Saginaw,U.S. Senate,,Doug Dern,,,,210
Saginaw,U.S. Senate,,Total write-in,,,,95
Saginaw,U.S. House,4,Jerry Hilliard,,,,15360
Saginaw,U.S. House,4,John Moolenaar,,,,32823
Saginaw,U.S. House,4,David Canny,,,,631
Saginaw,U.S. House,4,Amy Slepr,,,,471
Saginaw,U.S. House,4,Total write-in,,,,60
Saginaw,U.S. House,5,Daniel T. Kildee,,,,32260
Saginaw,U.S. House,5,Tim Kelly,,,,17259
Saginaw,U.S. House,5,James Harris,,,,782
Saginaw,U.S. House,5,Kathy Goodwin,,,,1204
Saginaw,U.S. House,5,Total write-in,,,,73
Saginaw,State House,85,Andrea Kelly Garrison,,,,3957
Saginaw,State House,85,Ben Frederick,,,,8362
Saginaw,State House,85,Total write-in,,,,58
Saginaw,State House,94,Demond L. Tibbs,,,,21065
Saginaw,State House,94,Rodney Wakeman,,,,31457
Saginaw,State House,94,Total write-in,,,,156
Saginaw,State House,95,Amos O'Neal,,,,23909
Saginaw,State House,95,Charlotte DeMaet,,,,10190
Saginaw,State House,95,Total write-in,,,,131
Shiawassee,Straight Party,,Democratic Party,,,,7108
Shiawassee,Straight Party,,Republican Party,,,,12299
Shiawassee,Straight Party,,Libertarian Party,,,,138
