candidate,office,district,party,county,precinct,election day,avcb,votes
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Springfield Township, Precinct 1",223,0,223
John James,U.S. Senate,,REP,Kalkaska,"Springfield Township, Precinct 1",583,0,583
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Springfield Township, Precinct 1",7,0,7
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Springfield Township, Precinct 1",6,0,6
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Springfield Township, Precinct 1",0,0,0
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Springfield Township, Precinct 1",211,0,211
Jack Bergman,U.S. House,1,REP,Kalkaska,"Springfield Township, Precinct 1",592,0,592
Ben Boren,U.S. House,1,LIB,Kalkaska,"Springfield Township, Precinct 1",13,0,13
Zach Larson,State House,103,DEM,Kalkaska,"Springfield Township, Precinct 1",230,0,230
Daire Rendon,State House,103,REP,Kalkaska,"Springfield Township, Precinct 1",558,0,558
